brand,model,ev_description
Audi,A6 Avant e-tron,"The Audi A6 Avant e-tron is an electric vehicle in the JE - Executive segment. It has a 75.8 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 6.0 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Station/Estate category."
Audi,A6 Avant e-tron performance,"The Audi A6 Avant e-tron performance is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 575.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Station/Estate category."
Audi,A6 Avant e-tron quattro,"The Audi A6 Avant e-tron quattro is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 560.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
Audi,A6 Sportback e-tron,"The Audi A6 Sportback e-tron is an electric vehicle in the JE - Executive segment. It has a 75.8 kWh Lithium-ion battery that provides a range of approximately 495.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 6.0 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Audi,A6 Sportback e-tron performance,"The Audi A6 Sportback e-tron performance is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 610.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Audi,A6 Sportback e-tron quattro,"The Audi A6 Sportback e-tron quattro is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 590.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 4.7 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Audi,Q4 Sportback e-tron 40,"The Audi Q4 Sportback e-tron 40 is an electric vehicle in the JC - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 340.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 Sportback e-tron 45,"The Audi Q4 Sportback e-tron 45 is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 535.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 Sportback e-tron 45 quattro,"The Audi Q4 Sportback e-tron 45 quattro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 410.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 535.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 Sportback e-tron 55 quattro,"The Audi Q4 Sportback e-tron 55 quattro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 415.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 535.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 e-tron 40,"The Audi Q4 e-tron 40 is an electric vehicle in the JC - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 e-tron 45,"The Audi Q4 e-tron 45 is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 420.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 e-tron 45 quattro,"The Audi Q4 e-tron 45 quattro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 395.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q4 e-tron 55 quattro,"The Audi Q4 e-tron 55 quattro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 395.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 520.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron,"The Audi Q6 e-tron is an electric vehicle in the JD - Large segment. It has a 75.8 kWh Lithium-ion battery that provides a range of approximately 395.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 526.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron Sportback,"The Audi Q6 e-tron Sportback is an electric vehicle in the JD - Large segment. It has a 75.8 kWh Lithium-ion battery that provides a range of approximately 410.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 511.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron Sportback performance,"The Audi Q6 e-tron Sportback performance is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 510.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 190.0 kW via CCS port. It offers 511.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron Sportback quattro,"The Audi Q6 e-tron Sportback quattro is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 511.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron performance,"The Audi Q6 e-tron performance is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 490.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 190.0 kW via CCS port. It offers 526.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Audi,Q6 e-tron quattro,"The Audi Q6 e-tron quattro is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 480.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 10.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,S6 Avant e-tron,"The Audi S6 Avant e-tron is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 530.0 km. The top speed is 240.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
Audi,S6 Sportback e-tron,"The Audi S6 Sportback e-tron is an electric vehicle in the JE - Executive segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 555.0 km. The top speed is 240.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 502.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Audi,SQ6 e-tron,"The Audi SQ6 e-tron is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 230.0 km/h with 0-100 acceleration in 4.3 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 514.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,SQ6 e-tron Sportback,"The Audi SQ6 e-tron Sportback is an electric vehicle in the JD - Large segment. It has a 94.9 kWh Lithium-ion battery that provides a range of approximately 495.0 km. The top speed is 230.0 km/h with 0-100 acceleration in 4.3 seconds. It supports DC fast charging at up to 200.0 kW via CCS port. It offers 511.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Audi,e-tron GT RS,"The Audi e-tron GT RS is an electric vehicle in the F - Luxury segment. It has a 97.0 kWh Lithium-ion battery that provides a range of approximately 525.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 2.8 seconds. It supports DC fast charging at up to 281.0 kW via CCS port. It offers 350.0 liters of cargo space, seats 4 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Audi,e-tron GT RS performance,"The Audi e-tron GT RS performance is an electric vehicle in the F - Luxury segment. It has a 97.0 kWh Lithium-ion battery that provides a range of approximately 525.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 2.5 seconds. It supports DC fast charging at up to 281.0 kW via CCS port. It offers 350.0 liters of cargo space, seats 4 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Audi,e-tron GT S,"The Audi e-tron GT S is an electric vehicle in the F - Luxury segment. It has a 97.0 kWh Lithium-ion battery that provides a range of approximately 540.0 km. The top speed is 245.0 km/h with 0-100 acceleration in 3.4 seconds. It supports DC fast charging at up to 281.0 kW via CCS port. It offers 405.0 liters of cargo space, seats 4 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Audi,e-tron GT quattro,"The Audi e-tron GT quattro is an electric vehicle in the F - Luxury segment. It has a 97.0 kWh Lithium-ion battery that provides a range of approximately 540.0 km. The top speed is 245.0 km/h with 0-100 acceleration in 4.0 seconds. It supports DC fast charging at up to 281.0 kW via CCS port. It offers 405.0 liters of cargo space, seats 4 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i4 M50,"The BMW i4 M50 is an electric vehicle in the D - Large segment. It has a 81.3 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 225.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 131.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
BMW,i4 eDrive35,"The BMW i4 eDrive35 is an electric vehicle in the D - Large segment. It has a 67.1 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 6.0 seconds. It supports DC fast charging at up to 95.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
BMW,i4 eDrive40,"The BMW i4 eDrive40 is an electric vehicle in the D - Large segment. It has a 81.3 kWh Lithium-ion battery that provides a range of approximately 515.0 km. The top speed is 190.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 131.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
BMW,i4 xDrive40,"The BMW i4 xDrive40 is an electric vehicle in the D - Large segment. It has a 81.3 kWh Lithium-ion battery that provides a range of approximately 490.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.1 seconds. It supports DC fast charging at up to 131.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
BMW,i5 M60 xDrive Sedan (MY25),"The BMW i5 M60 xDrive Sedan (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 230.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i5 M60 xDrive Touring (MY25),"The BMW i5 M60 xDrive Touring (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 425.0 km. The top speed is 230.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
BMW,i5 eDrive40 Sedan (MY25),"The BMW i5 eDrive40 Sedan (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 480.0 km. The top speed is 193.0 km/h with 0-100 acceleration in 6.0 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i5 eDrive40 Touring (MY25),"The BMW i5 eDrive40 Touring (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 193.0 km/h with 0-100 acceleration in 6.1 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Station/Estate category."
BMW,i5 xDrive40 Sedan (MY25),"The BMW i5 xDrive40 Sedan (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 215.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i5 xDrive40 Touring (MY25),"The BMW i5 xDrive40 Touring (MY25) is an electric vehicle in the E - Executive segment. It has a 81.2 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 215.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 136.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Station/Estate category."
BMW,i7 M70 xDrive,"The BMW i7 M70 xDrive is an electric vehicle in the F - Luxury segment. It has a 101.7 kWh Lithium-ion battery that provides a range of approximately 490.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 3.7 seconds. It supports DC fast charging at up to 159.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i7 eDrive50,"The BMW i7 eDrive50 is an electric vehicle in the F - Luxury segment. It has a 101.7 kWh Lithium-ion battery that provides a range of approximately 520.0 km. The top speed is 205.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 159.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
BMW,i7 xDrive60,"The BMW i7 xDrive60 is an electric vehicle in the F - Luxury segment. It has a 101.7 kWh Lithium-ion battery that provides a range of approximately 510.0 km. The top speed is 240.0 km/h with 0-100 acceleration in 4.7 seconds. It supports DC fast charging at up to 159.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BMW,iX M70 xDrive,"The BMW iX M70 xDrive is an electric vehicle in the JE - Executive segment. It has a 108.9 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX xDrive45,"The BMW iX xDrive45 is an electric vehicle in the JE - Executive segment. It has a 94.8 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.1 seconds. It supports DC fast charging at up to 115.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX xDrive60,"The BMW iX xDrive60 is an electric vehicle in the JE - Executive segment. It has a 109.1 kWh Lithium-ion battery that provides a range of approximately 525.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.6 seconds. It supports DC fast charging at up to 150.0 kW via CCS port. It offers 500.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX1 eDrive20,"The BMW iX1 eDrive20 is an electric vehicle in the JC - Medium segment. It has a 64.7 kWh Lithium-ion battery that provides a range of approximately 390.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.3 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX1 xDrive30,"The BMW iX1 xDrive30 is an electric vehicle in the JC - Medium segment. It has a 64.7 kWh Lithium-ion battery that provides a range of approximately 380.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 490.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX2 eDrive20,"The BMW iX2 eDrive20 is an electric vehicle in the JC - Medium segment. It has a 64.7 kWh Lithium-ion battery that provides a range of approximately 395.0 km. The top speed is 170.0 km/h with 0-100 acceleration in 8.6 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 525.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BMW,iX2 xDrive30,"The BMW iX2 xDrive30 is an electric vehicle in the JC - Medium segment. It has a 64.7 kWh Lithium-ion battery that provides a range of approximately 385.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 94.0 kW via CCS port. It offers 525.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
BYD,ATTO 2,"The BYD ATTO 2 is an electric vehicle in the JB - Compact segment. It has a 45.1 kWh Lithium-ion battery that provides a range of approximately 245.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.9 seconds. It supports DC fast charging at up to 51.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BYD,ATTO 3 (MY25),"The BYD ATTO 3 (MY25) is an electric vehicle in the JC - Medium segment. It has a 60.5 kWh Lithium-ion battery that provides a range of approximately 340.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.3 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 440.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
BYD,DOLPHIN 44.9 kWh Active,"The BYD DOLPHIN 44.9 kWh Active is an electric vehicle in the C - Medium segment. It has a 44.9 kWh Lithium-ion battery that provides a range of approximately 265.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 12.3 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 345.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,DOLPHIN 44.9 kWh Boost,"The BYD DOLPHIN 44.9 kWh Boost is an electric vehicle in the C - Medium segment. It has a 44.9 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.0 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 345.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,DOLPHIN 60.4 kWh,"The BYD DOLPHIN 60.4 kWh is an electric vehicle in the C - Medium segment. It has a 60.5 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.0 seconds. It supports DC fast charging at up to 65.0 kW via CCS port. It offers 345.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,DOLPHIN SURF 30 kWh Active,"The BYD DOLPHIN SURF 30 kWh Active is an electric vehicle in the B - Compact segment. It has a 30.0 kWh Lithium-ion battery that provides a range of approximately 190.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 11.1 seconds. It supports DC fast charging at up to 45.0 kW via CCS port. It offers 308.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,DOLPHIN SURF 43.2 kWh Boost,"The BYD DOLPHIN SURF 43.2 kWh Boost is an electric vehicle in the B - Compact segment. It has a 43.2 kWh Lithium-ion battery that provides a range of approximately 270.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 12.1 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 308.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,DOLPHIN SURF 43.2 kWh Comfort,"The BYD DOLPHIN SURF 43.2 kWh Comfort is an electric vehicle in the B - Compact segment. It has a 43.2 kWh Lithium-ion battery that provides a range of approximately 265.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.1 seconds. It supports DC fast charging at up to 60.0 kW via CCS port. It offers 308.0 liters of cargo space, seats 4 passengers, and has a FWD drivetrain. This vehicle belongs to the Hatchback category."
BYD,SEAL 61.4 kWh RWD Comfort,"The BYD SEAL 61.4 kWh RWD Comfort is an electric vehicle in the D - Large segment. It has a 61.4 kWh Lithium-ion battery that provides a range of approximately 365.0 km. The top speed is 220.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 75.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
BYD,SEAL 82.5 kWh AWD Excellence,"The BYD SEAL 82.5 kWh AWD Excellence is an electric vehicle in the D - Large segment. It has a 82.5 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
BYD,SEAL 82.5 kWh RWD Design,"The BYD SEAL 82.5 kWh RWD Design is an electric vehicle in the D - Large segment. It has a 82.5 kWh Lithium-ion battery that provides a range of approximately 480.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 400.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
